Anos,UE27 (2020) - União Europeia 27 (desde 2020),ZE20 - Zona Euro (20 Países),ZE19 - Zona Euro (19 Países; 2015-2022),DE - Alemanha,AT - Áustria,BE - Bélgica,BG - Bulgária,CY - Chipre,HR - Croácia,DK - Dinamarca,SK - Eslováquia,SI - Eslovénia,ES - Espanha,EE - Estónia,FI - Finlândia,FR - França,GR - Grécia,HU - Hungria,IE - Irlanda,IT - Itália,LV - Letónia,LT - Lituânia,LU - Luxemburgo,MT - Malta,NL - Países Baixos,PL - Polónia,PT - Portugal,CZ - República Checa,RO - Roménia,SE - Suécia,IS - Islândia,NO - Noruega,UK - Reino Unido,CH - Suíça
1997,x,x,x," 5,500",x, 200,x, 5,x,x, 21, 18,x,x,x,x,x,x, 150,x, 2,x,x,x,x,x, 89, 57,x, 653,x,x,x,x
1998,x,x,x," 7,500",x, 207, 1, 10,x,x, 35, 43, 667,x,x," 1,280", 100,x, 300," 1,399", 80,x,x,x," 1,067",x, 173, 86,x," 1,550",x,x," 2,500", 425
1999,x,x,x," 11,100",x, 559, 3, 17, 75," 1,135", 45, 72," 3,100",x, 466," 3,030", 193, 145, 444," 3,950",x,x,x, 25," 2,835",x, 474, 199,x," 1,880",x,x," 7,000", 992
2000,x,x,x," 18,300",x," 1,150", 6, 28, 148," 1,684", 68, 140," 1,399",x, 850," 5,263", 271, 230," 1,040"," 6,236", 33,x,x, 33," 5,911",x," 2,111", 418,x," 2,281",x,x," 9,900"," 1,665"
2001,x,x,x," 14,900",x," 1,425", 135, 37, 239," 2,023", 100,x," 1,880", 120, 966," 6,987", 350, 322,"s 1,080","s 14,000", 40, 40, 25, 51," 5,900",x," 3,460"," 1,257", 363," 2,819",x,x," 13,000"," 2,093"
2002,x,x,x," 19,300"," 1,031"," 1,694", 144, 46, 370," 2,581", 134, 542," 3,925", 121," 1,057"," 9,124", 392, 446," 1,108"," 17,153", 37, 37, 79, 67," 6,372",x," 5,165"," 1,644",s 500," 3,084",x," 1,606"," 13,100"," 2,337"
2003,x,x,x," 23,000"," 1,211"," 1,892", 146, 66,┴  480,"┴  1,678", 182, 249," 4,681", 132," 1,138"," 10,617", 561, 630," 1,260",x,s 51, 114, 108, 78,x,x,"┴  7,211"," 2,149", 499," 3,243", 42," 1,288",x," 2,731"
2004,x,x,x,x," 1,590"," 2,033", 149, 81," 1,375"," 1,683", 398, 346," 5,253", 171,"s 1,200"," 11,939", 700, 795," 1,300",x,s 92, 174, 120, 88,x,x," 1,243"," 2,129", 980," 3,293", 56," 1,418",x," 2,250"
2005,x,x,x,x," 1,772"," 2,187", 155, 86," 1,472"," 1,809", 294, 398," 6,234", 197,x," 13,217", 882, 826,┴  875,x,x, 257, 125, 89,x,x," 1,436"," 2,336"," 1,048"," 3,302", 78," 1,421",x," 2,585"
2006,x,x,x,x," 2,011"," 2,559", 466, 101," 1,685"," 1,998", 395, 392," 7,531", 240,x," 15,268", 951," 1,058"," 1,036",x,x, 418, 124, 95," 5,115"," 3,788"," 1,580"," 1,420"," 2,012"," 3,595", 88," 1,512",x," 2,827"
2007,x,x,x,x," 2,004"," 2,862", 652,x," 1,985"," 1,953", 544, 417," 7,990", 295,x," 17,248"," 1,323"," 1,366"," 1,213",x,x, 582, 156, 100,x," 4,587"," 1,648"," 1,617"," 3,471"," 3,958", 98," 1,605",x," 2,800"
2008,x,x,x,x,"s 2,047"," 3,045", 853,x," 2,244"," 2,134", 670, 456," 9,054", 336,x," 18,813"," 1,765"," 1,549"," 1,129",x,x, 710, 156, 103," 5,946"," 4,388"," 1,733"," 1,922"," 5,249"," 4,271", 111," 1,670",x," 2,760"
2009,x,x,x,x," 2,149"," 3,205", 998,x," 2,495"," 2,162", 830, 482," 9,707", 343," 2,474"," 20,338"," 1,987"," 1,605"," 1,104",x,x, 796, 170, 111," 6,219"," 6,457"," 1,959"," 2,049"," 5,349"," 4,596", 114,x,x,"Pro 2,855"
2010,"┴  114,029",┴ x,┴ x,"┴  26,162","┴  2,002","┴  3,373","┴  1,126",┴  194,┴  804,"┴  2,139",┴  893,┴  494,"┴  10,893",┴  358,"┴  1,559","┴  21,261","┴  2,253","┴  2,058","┴  1,036","┴  13,062",┴  435,┴  684,┴  156,┴  122,"┴  6,406","┴  6,116","┴  2,176","┴  2,244","┴  3,000","┴  3,025",┴ x,┴ x,┴ x,┴ x
