Anos,UE27 (2020) - União Europeia 27 (desde 2020),ZE20 - Zona Euro (20 Países),ZE19 - Zona Euro (19 Países; 2015-2022),DE - Alemanha,AT - Áustria,BE - Bélgica,BG - Bulgária,CY - Chipre,HR - Croácia,DK - Dinamarca,SK - Eslováquia,SI - Eslovénia,ES - Espanha,EE - Estónia,FI - Finlândia,FR - França,GR - Grécia,HU - Hungria,IE - Irlanda,IT - Itália,LV - Letónia,LT - Lituânia,LU - Luxemburgo,MT - Malta,NL - Países Baixos,PL - Polónia,PT - Portugal,CZ - República Checa,RO - Roménia,SE - Suécia,IS - Islândia,NO - Noruega,UK - Reino Unido,CH - Suíça
2000,x,x,x, 5.2, 8.3, 6.2,x, 3.1,x, 19.4,x,x, 4.5,┴  6.6,┴  17.5, 2.8, 1.0, 2.9,x, 4.8,x, 2.8, 4.8, 4.5, 15.5,x, 3.3,x, 0.9,u 21.6, 23.5,x, 20.5, 34.7
2001,x,x,x, 5.2, 8.2, 6.4,┴  1.4, 3.4,x, 18.4,x, 7.3, 4.4, 5.4, 17.2, 2.7,┴  1.2,┴  2.7,x, 4.5,x, 3.5, 5.3, 4.6, 15.9, 4.3, 3.2,x, 1.0,┴  17.5, 23.5,x, 20.9, 37.3
2002, 5.3, 5.3,x, 5.8, 7.5, 6.0, 1.2, 3.7, 1.9, 18.0, 8.5, 8.4, 4.5, 5.3, 17.3, 2.7, 1.1, 2.9, 5.5, 4.4,┴  7.3,┴  3.0, 7.7, 4.4, 15.8, 4.2, 2.8, 5.6, 1.0, 18.4, 24.0,x, 21.3, 35.8
2003,┴  6.4, 6.4,x,┴  6.0, 8.6, 7.0,┴  1.3,┴  7.9, 1.8,┴  24.2,┴  3.7,┴  13.3,┴  4.8,┴  6.8,┴  22.4,┴  6.8,┴  2.7,┴  4.5, 5.9, 4.5,┴  7.7, 3.8,┴  6.5, 4.2,┴  16.4,┴  4.4, 3.2,┴  5.1,┴  1.1,x,┴ u 29.5, 19.3,u 27.2,┴  24.7
2004, 7.1, 7.1,x, 7.4,┴  11.6,┴  8.6, 1.3, 9.3, 1.9, 25.6, 4.3, 16.2, 4.8, 6.6, 22.8, 6.0,┴  1.8, 4.0,┴  6.1,┴  6.3, 8.4,┴  6.0, 9.8,┴  4.3, 16.4,┴  5.0,┴  4.2, 5.8, 1.5,x, 24.2, 19.6,┴ u 29.0, 28.6
2005, 7.7, 7.8,x,┴  7.7, 12.9, 8.3, 1.3, 5.9,┴  2.1, 27.4, 4.6, 15.3,┴  10.8, 6.0, 22.5, 5.9, 1.9, 3.9, 7.4, 5.8, 7.8, 6.1, 8.5,┴  5.2,┴  15.4, 4.9, 4.1, 5.6, 1.6,┴  17.4, 25.7, 20.1,u 27.6, 27.0
2006,┴  7.8, 7.9,x, 7.5,┴  13.2,┴  7.8,┴  1.6,┴  7.4,┴  3.1, 29.2,┴  4.3,┴  15.2,┴  10.7, 6.5, 23.1, 6.4,┴  2.1,┴  4.0,┴  7.4,┴  6.1,┴  7.3,┴  5.0,┴  8.3,┴  5.5,┴  15.7, 4.7,┴  4.2,┴  5.8,┴  1.5,┴  18.8, 27.9,┴  19.1,┴ u 27.4, 22.5
2007, 7.9, 8.0,x, 7.8, 12.9, 7.4, 1.6, 8.7, 2.9,┴  29.1, 4.1, 15.1, 10.8, 7.0, 23.4, 6.1, 2.4, 3.9,┴  7.8, 6.2, 7.2, 5.5,┴  7.2, 5.9, 16.8, 5.1, 4.4, 6.0, 1.5,┴  19.0, 27.0, 18.4,┴  20.5, 26.8
2008, 8.0, 8.2,x,┴  8.1, 13.3, 7.1, 1.6, 8.8, 2.6,┴  29.9, 3.6, 14.3, 10.7, 9.7, 23.1, 6.0,┴  3.2, 3.4, 7.2, 6.3, 6.9, 4.9, 8.7, 6.3, 17.1,┴  4.7, 5.3, 8.0, 1.8,┴  22.5, 25.1, 19.7,┴  20.5, 27.9
2009, 7.9, 8.1,x, 8.0, 13.9, 7.1, 1.6,┴  8.3, 3.0, 31.4, 3.1, 14.8, 10.8,┴  10.5, 22.1, 5.7,┴  3.5, 3.0, 6.6, 6.0, 5.6, 4.6,┴  13.8, 6.2, 17.1, 4.7, 6.4, 7.1, 1.8, 22.5,┴  25.1, 18.5, 20.7, 23.9
