Anos,UE27 (2020) - União Europeia 27 (desde 2020),ZE20 - Zona Euro (20 Países),ZE19 - Zona Euro (19 Países; 2015-2022),DE - Alemanha,AT - Áustria,BE - Bélgica,BG - Bulgária,CY - Chipre,HR - Croácia,DK - Dinamarca,SK - Eslováquia,SI - Eslovénia,ES - Espanha,EE - Estónia,FI - Finlândia,FR - França,GR - Grécia,HU - Hungria,IE - Irlanda,IT - Itália,LV - Letónia,LT - Lituânia,LU - Luxemburgo,MT - Malta,NL - Países Baixos,PL - Polónia,PT - Portugal,CZ - República Checa,RO - Roménia,SE - Suécia,IS - Islândia,NO - Noruega,UK - Reino Unido,CH - Suíça
2009, 3.1, 3.2,x, 3.4, 1.4, 3.2, 3.4, 0.6, 5.1, 0.6, 7.6, 1.8, 4.3, 3.7, 1.7, 2.0, 3.6, 4.0, 3.5, 3.7, 5.0, 3.3, 1.2, 2.9, 0.9, 2.6, 4.8, 2.0, 2.6, 1.7, 0.4, 0.7,x,x
2010, 4.0, 4.2,x,┴  3.2, 1.5, 3.7,┴  5.2, 1.3, 6.6, 1.4, 10.7, 3.2, 7.3, 7.5, 2.5, 2.4, 5.2, 5.3, 6.9, 4.3, 9.7, 7.4, 1.3, 4.1, 1.1,┴  3.1, 6.3, 3.0, 3.0, 2.5, 1.3, 1.0,x,┴  1.6
2011, 4.3, 4.5,x,┴  2.7, 1.5, 3.1,┴  6.8, 1.6, 8.4, 1.8,┴  10.7, 3.7, 8.9, 7.0, 2.2, 2.5, 8.0, 5.1, 8.8, 4.6, 9.8, 8.0, 1.4, 3.9, 1.4, 3.7, 6.5,┴  2.7, 3.6, 2.3, 1.7, 1.1,x, 1.6
2012, 4.9, 5.1,x, 2.4, 1.5, 3.1, 7.2, 3.6, 10.2, 2.1, 10.9, 4.3, 11.0, 5.4, 2.1, 2.6, 13.1, 4.8, 9.2, 6.0, 8.6, 6.6, 1.6, 3.8, 1.7, 4.2, 8.1, 3.0, 3.7, 2.3, 1.5, 0.8,x, 1.5
2013, 5.4, 5.8,x, 2.3, 1.6, 3.5, 7.9, 6.1, 11.0, 1.8, 11.6, 5.2, 13.0, 3.8, 2.1, 2.9, 16.7, 4.8, 7.9, 7.4, 6.3, 5.1, 1.8, 3.5, 2.3, 4.5, 9.7, 3.0, 3.9, 2.3, 1.0, 1.0,x, 1.5
2014, 5.4, 5.9,x, 2.2, 1.9, 3.9, 7.4, 7.7, 10.1, 1.7, 10.7, 5.3, 12.9, 3.3, 2.4, 3.1, 17.5, 3.6, 6.6, 8.2, 5.1, 4.8, 1.6, 2.9, 2.7, 3.9, 8.7, 2.7, 3.4, 2.3, 0.6, 1.1,x, 1.7
2015, 4.9, 5.4,x, 2.0, 2.0, 4.0, 6.1, 6.8, 10.2, 1.6, 8.8, 4.7, 11.4, 2.4, 2.9, 3.1, 16.4, 3.0, 5.3, 7.4, 4.9, 3.9,┴  1.9, 2.7, 2.7, 3.0, 7.5, 2.4, 3.6, 2.3, 0.5, 1.3,x, 1.8
2016, 4.3, 4.8,x, 1.7, 2.4, 3.7, 5.0, 5.8, 6.6,┴  1.2, 6.8, 4.3, 9.5, 2.2, 2.9, 3.1, 15.4, 2.3, 4.2, 7.1, 4.4, 3.0, 2.2, 2.4, 2.3, 2.2, 6.4, 1.7, 3.4, 2.0,§, 1.6,x, 1.8
2017, 3.7, 4.2,x, 1.5, 2.3,┴  3.1, 3.9, 4.5, 4.6,┴  1.2, 5.9, 3.1, 7.7, 2.0, 2.6, 2.9, 14.3, 1.6, 3.0, 6.9, 3.6, 2.7, 2.1, 2.0, 1.7, 1.5, 4.6, 1.0, 2.4, 2.0, 0.3, 1.5,x, 1.7
2018, 3.1, 3.6,x, 1.4, 1.7, 2.6, 3.6, 2.7, 3.4, 1.0, 4.7, 2.2, 6.4, 1.3, 2.0, 2.5, 12.5, 1.4, 2.1,┴  6.5, 3.4, 2.0, 1.4, 1.9, 1.2, 1.0, 3.2, 0.7, 2.2,┴  1.7, 0.3, 1.3,x, 1.7
2019, 2.7, 3.1,x, 1.2, 1.4, 2.1, 2.9, 2.1, 2.4, 0.8, 3.9, 1.9, 5.3, 0.9, 1.5, 2.3, 11.3, 1.1, 1.6, 5.9, 2.7, 1.9, 1.3, 1.0, 0.9, 0.7, 2.8, 0.6, 2.0, 1.5,§, 1.1,x, 1.5
2020, 2.5, 2.8,x,┴  1.1, 1.7, 2.1, 2.7, 2.1, 2.1, 0.9, 3.7, 1.9, 5.0, 1.2, 1.5, 1.9, 10.5, 1.1, 1.4, 5.1, 2.4, 2.5, 1.7, 1.3, 0.7, 0.6, 2.3, 0.6, 1.8, 1.8,┴  0.5, 1.2,x, 1.5
2021, 2.8, 3.2,x, 1.2, 2.0, 2.6, 2.6, 2.6, 2.8, 1.0, 3.9, 1.9, 6.2, 1.6, 1.8, 2.3, 9.2, 1.3, 1.8, 5.4, 2.3, 2.6, 1.8, 1.0, 0.8, 0.9, 2.9, 0.8, 2.0, 2.0, 1.1, 1.0,x, 1.9
2022, 2.4, 2.7,x, 1.0, 1.2, 2.3,┴  2.2, 2.3, 2.4, 0.5, 4.1, 1.6, 5.0, 1.3, 1.5, 2.0, 7.7, 1.2, 1.3, 4.6, 2.0, 2.3, 1.3, 1.2, 0.7, 0.9, 2.8, 0.6, 2.2, 1.9, 0.5, 0.6,x, 1.5
2023, 2.1, 2.3,x, 0.9, 1.1, 2.2, 2.3, 1.9,┴  2.0,┴  0.5, 3.8, 1.4, 4.2, 1.3, 1.6, 1.8, 6.2, 1.4,┴  1.1, 4.2, 1.8, 2.3, 1.7, 0.7, 0.5,┴  0.8, 2.5, 0.8, 2.2, 1.6, 0.3, 0.5,x, 1.3
